unique_id,salzone,season,station,sampledate,samplenumber,metric,value,score,ibi_score,rating
ret5.2_ap_fs1_2016-03-01,f,spring,ret5.2,2016-03-01,fs1,pheophytin,1.37,5,3.4,fair_good
tf3.3_ap_fs1_2016-03-17,f,spring,tf3.3,2016-03-17,fs1,pheophytin,4.02,1,2.6,fair_poor
ret3.1_ap_fs1_2016-05-10,f,spring,ret3.1,2016-05-10,fs1,pheophytin,10.7,1,2.6,fair_poor
tf5.5_ap_fs1_2016-05-12,f,spring,tf5.5,2016-05-12,fs1,pheophytin,1.28,5,3.4,fair_good
ret5.2_ap_fs1_2016-05-19,f,spring,ret5.2,2016-05-19,fs1,pheophytin,8.55,1,3.4,fair_good
ret5.2_ap_fs1_2013-03-20,f,spring,ret5.2,2013-03-20,fs1,total_phyto_biomass,1227.89345152,1,2.6,fair_poor
ret5.2_ap_fs1_2013-04-02,f,spring,ret5.2,2013-04-02,fs1,total_phyto_biomass,610.58988315,3,2.6,fair_poor
ret5.2_ap_fs1_2013-05-09,f,spring,ret5.2,2013-05-09,fs1,total_phyto_biomass,692.31286557,3,3,fair
ret5.2_ap_fs1_2014-03-19,f,spring,ret5.2,2014-03-19,fs1,total_phyto_biomass,1393.083361,1,2.6,fair_poor
ret5.2_ap_fs1_2014-04-01,f,spring,ret5.2,2014-04-01,fs1,total_phyto_biomass,1314.33515666,1,2.2,fair_poor
ret5.2_ap_fs1_2014-05-06,f,spring,ret5.2,2014-05-06,fs1,total_phyto_biomass,898.13135538,1,1.8,poor
ret5.2_ap_fs1_2015-04-16,f,spring,ret5.2,2015-04-16,fs1,total_phyto_biomass,846.13239709,1,1.8,poor
ret5.2_ap_fs1_2015-05-06,f,spring,ret5.2,2015-05-06,fs1,total_phyto_biomass,1328.18235315,1,1.8,poor
ret5.2_ap_fs1_2016-03-01,f,spring,ret5.2,2016-03-01,fs1,total_phyto_biomass,253.31810648,5,3.4,fair_good
tf3.3_ap_fs1_2016-03-17,f,spring,tf3.3,2016-03-17,fs1,total_phyto_biomass,550.89603739,5,2.6,fair_poor
ret3.1_ap_fs1_2016-05-10,f,spring,ret3.1,2016-05-10,fs1,total_phyto_biomass,3005.36446893,1,2.6,fair_poor
tf5.5_ap_fs1_2016-05-12,f,spring,tf5.5,2016-05-12,fs1,total_phyto_biomass,184.39416198,5,3.4,fair_good
ret5.2_ap_fs1_2016-05-19,f,spring,ret5.2,2016-05-19,fs1,total_phyto_biomass,543.25171523,5,3.4,fair_good
ret5.2_ap_fs1_2013-03-20,f,spring,ret5.2,2013-03-20,fs1,cyanophyte_biomass,,,2.6,fair_poor
ret5.2_ap_fs1_2013-03-20,f,spring,ret5.2,2013-03-20,fs1,cyanophyte_biomass,0.00627227,,2.6,fair_poor
ret5.2_ap_fs1_2013-04-02,f,spring,ret5.2,2013-04-02,fs1,cyanophyte_biomass,,,2.6,fair_poor
ret5.2_ap_fs1_2013-05-09,f,spring,ret5.2,2013-05-09,fs1,cyanophyte_biomass,,,3,fair
ret5.2_ap_fs1_2014-03-19,f,spring,ret5.2,2014-03-19,fs1,cyanophyte_biomass,,,2.6,fair_poor
ret5.2_ap_fs1_2014-04-01,f,spring,ret5.2,2014-04-01,fs1,cyanophyte_biomass,,,2.2,fair_poor
ret5.2_ap_fs1_2014-04-01,f,spring,ret5.2,2014-04-01,fs1,cyanophyte_biomass,0.00627227,,2.2,fair_poor
ret5.2_ap_fs1_2014-05-06,f,spring,ret5.2,2014-05-06,fs1,cyanophyte_biomass,,,1.8,poor
ret5.2_ap_fs1_2014-05-06,f,spring,ret5.2,2014-05-06,fs1,cyanophyte_biomass,0.00627227,,1.8,poor
ret5.2_ap_fs1_2015-04-16,f,spring,ret5.2,2015-04-16,fs1,cyanophyte_biomass,,,1.8,poor
ret5.2_ap_fs1_2015-04-16,f,spring,ret5.2,2015-04-16,fs1,cyanophyte_biomass,0.00627227,,1.8,poor
ret5.2_ap_fs1_2015-05-06,f,spring,ret5.2,2015-05-06,fs1,cyanophyte_biomass,,,1.8,poor
ret5.2_ap_fs1_2015-05-06,f,spring,ret5.2,2015-05-06,fs1,cyanophyte_biomass,0.00627227,,1.8,poor
ret5.2_ap_fs1_2016-03-01,f,spring,ret5.2,2016-03-01,fs1,cyanophyte_biomass,,,3.4,fair_good
ret5.2_ap_fs1_2016-03-01,f,spring,ret5.2,2016-03-01,fs1,cyanophyte_biomass,0.00627227,,3.4,fair_good
tf3.3_ap_fs1_2016-03-17,f,spring,tf3.3,2016-03-17,fs1,cyanophyte_biomass,,,2.6,fair_poor
tf3.3_ap_fs1_2016-03-17,f,spring,tf3.3,2016-03-17,fs1,cyanophyte_biomass,0.00627227,,2.6,fair_poor
ret3.1_ap_fs1_2016-05-10,f,spring,ret3.1,2016-05-10,fs1,cyanophyte_biomass,,,2.6,fair_poor
ret3.1_ap_fs1_2016-05-10,f,spring,ret3.1,2016-05-10,fs1,cyanophyte_biomass,0.00627227,,2.6,fair_poor
tf5.5_ap_fs1_2016-05-12,f,spring,tf5.5,2016-05-12,fs1,cyanophyte_biomass,,,3.4,fair_good
tf5.5_ap_fs1_2016-05-12,f,spring,tf5.5,2016-05-12,fs1,cyanophyte_biomass,0.00627227,,3.4,fair_good
ret5.2_ap_fs1_2016-05-19,f,spring,ret5.2,2016-05-19,fs1,cyanophyte_biomass,,,3.4,fair_good
ret5.2_ap_fs1_2016-05-19,f,spring,ret5.2,2016-05-19,fs1,cyanophyte_biomass,0.00627227,,3.4,fair_good
ret3.1_ap_fs1_2013-04-09,o,spring,ret3.1,2013-04-09,fs1,total_phyto_biomass_chla_ratio,684.108382786232,1,1.8,poor
ret4.3_ap_fs1_2013-04-16,o,spring,ret4.3,2013-04-16,fs1,total_phyto_biomass_chla_ratio,66.3484726163158,1,1.8,poor
ret3.1_ap_fs1_2014-03-11,o,spring,ret3.1,2014-03-11,fs1,total_phyto_biomass_chla_ratio,13.6720229572222,1,3,fair
ret3.1_ap_fs1_2014-04-08,o,spring,ret3.1,2014-04-08,fs1,total_phyto_biomass_chla_ratio,23.4125258581461,5,3.8,fair_good
ret4.3_ap_fs1_2014-04-22,o,spring,ret4.3,2014-04-22,fs1,total_phyto_biomass_chla_ratio,,,1,poor
ret4.3_ap_fs1_2014-05-20,o,spring,ret4.3,2014-05-20,fs1,total_phyto_biomass_chla_ratio,5.12709298418972,1,1,poor
ret5.2_ap_fs1_2015-03-03,o,spring,ret5.2,2015-03-03,fs1,total_phyto_biomass_chla_ratio,138.194590308411,1,2.2,fair_poor
ret4.3_ap_fs1_2015-03-24,o,spring,ret4.3,2015-03-24,fs1,total_phyto_biomass_chla_ratio,115.938651656184,1,1.5,poor
ret3.1_ap_fs1_2015-05-12,o,spring,ret3.1,2015-05-12,fs1,total_phyto_biomass_chla_ratio,69.4843292905405,1,1.8,poor
le5.2_ap_fs1_2016-03-01,o,spring,le5.2,2016-03-01,fs1,total_phyto_biomass_chla_ratio,101.322172668269,1,3,fair
ret3.1_ap_fs1_2016-03-17,o,spring,ret3.1,2016-03-17,fs1,total_phyto_biomass_chla_ratio,1.77946011577689,1,1.4,poor
tf3.3_ap_fs1_2016-04-21,o,spring,tf3.3,2016-04-21,fs1,total_phyto_biomass_chla_ratio,78.9032633330189,1,1.8,poor
ret4.3_ap_fs1_2016-05-25,o,spring,ret4.3,2016-05-25,fs1,total_phyto_biomass_chla_ratio,71.6956046377778,1,1.8,poor
ret3.1_ap_fs1_2013-04-09,o,spring,ret3.1,2013-04-09,fs1,surface_chla,2.76,1,1.8,poor
ret4.3_ap_fs1_2013-04-16,o,spring,ret4.3,2013-04-16,fs1,surface_chla,19,5,1.8,poor
ret3.1_ap_fs1_2014-03-11,o,spring,ret3.1,2014-03-11,fs1,surface_chla,18,5,3,fair
ret3.1_ap_fs1_2014-04-08,o,spring,ret3.1,2014-04-08,fs1,surface_chla,7.12,3,3.8,fair_good
ret4.3_ap_fs1_2014-04-22,o,spring,ret4.3,2014-04-22,fs1,surface_chla,,,1,poor
ret4.3_ap_fs1_2014-05-20,o,spring,ret4.3,2014-05-20,fs1,surface_chla,2.53,1,1,poor
ret5.2_ap_fs1_2015-03-03,o,spring,ret5.2,2015-03-03,fs1,surface_chla,2.14,1,2.2,fair_poor
ret4.3_ap_fs1_2015-03-24,o,spring,ret4.3,2015-03-24,fs1,surface_chla,4.77,1,1.5,poor
ret3.1_ap_fs1_2015-05-12,o,spring,ret3.1,2015-05-12,fs1,surface_chla,14.8,5,1.8,poor
le5.2_ap_fs1_2016-03-01,o,spring,le5.2,2016-03-01,fs1,surface_chla,4.16,1,3,fair
ret3.1_ap_fs1_2016-03-17,o,spring,ret3.1,2016-03-17,fs1,surface_chla,251,1,1.4,poor
tf3.3_ap_fs1_2016-04-21,o,spring,tf3.3,2016-04-21,fs1,surface_chla,21.2,3,1.8,poor
ret4.3_ap_fs1_2016-05-25,o,spring,ret4.3,2016-05-25,fs1,surface_chla,4.5,1,1.8,poor
ret3.1_ap_fs1_2013-04-09,o,spring,ret3.1,2013-04-09,fs1,doc,3.3,1,1.8,poor
ret4.3_ap_fs1_2013-04-16,o,spring,ret4.3,2013-04-16,fs1,doc,5.45,1,1.8,poor
ret3.1_ap_fs1_2014-03-11,o,spring,ret3.1,2014-03-11,fs1,doc,3.06,3,3,fair
ret3.1_ap_fs1_2014-04-08,o,spring,ret3.1,2014-04-08,fs1,doc,2.3,5,3.8,fair_good
ret4.3_ap_fs1_2014-04-22,o,spring,ret4.3,2014-04-22,fs1,doc,5.48,1,1,poor
ret4.3_ap_fs1_2014-05-20,o,spring,ret4.3,2014-05-20,fs1,doc,6.69,1,1,poor
ret5.2_ap_fs1_2015-03-03,o,spring,ret5.2,2015-03-03,fs1,doc,3.47,1,2.2,fair_poor
ret4.3_ap_fs1_2015-03-24,o,spring,ret4.3,2015-03-24,fs1,doc,,,1.5,poor
ret3.1_ap_fs1_2015-05-12,o,spring,ret3.1,2015-05-12,fs1,doc,3.76,1,1.8,poor
le5.2_ap_fs1_2016-03-01,o,spring,le5.2,2016-03-01,fs1,doc,,,3,fair
ret3.1_ap_fs1_2016-03-17,o,spring,ret3.1,2016-03-17,fs1,doc,3.89,1,1.4,poor
tf3.3_ap_fs1_2016-04-21,o,spring,tf3.3,2016-04-21,fs1,doc,2.8,3,1.8,poor
ret4.3_ap_fs1_2016-05-25,o,spring,ret4.3,2016-05-25,fs1,doc,6.67,1,1.8,poor
ret3.1_ap_fs1_2013-04-09,o,spring,ret3.1,2013-04-09,fs1,pheophytin,2.14,5,1.8,poor
ret4.3_ap_fs1_2013-04-16,o,spring,ret4.3,2013-04-16,fs1,pheophytin,3.54,1,1.8,poor
ret3.1_ap_fs1_2014-03-11,o,spring,ret3.1,2014-03-11,fs1,pheophytin,6.24,1,3,fair
ret3.1_ap_fs1_2014-04-08,o,spring,ret3.1,2014-04-08,fs1,pheophytin,3.52,1,3.8,fair_good
ret4.3_ap_fs1_2014-04-22,o,spring,ret4.3,2014-04-22,fs1,pheophytin,,,1,poor
ret4.3_ap_fs1_2014-05-20,o,spring,ret4.3,2014-05-20,fs1,pheophytin,5.15,1,1,poor
ret5.2_ap_fs1_2015-03-03,o,spring,ret5.2,2015-03-03,fs1,pheophytin,2.35,3,2.2,fair_poor
ret4.3_ap_fs1_2015-03-24,o,spring,ret4.3,2015-03-24,fs1,pheophytin,6.54,1,1.5,poor
ret3.1_ap_fs1_2015-05-12,o,spring,ret3.1,2015-05-12,fs1,pheophytin,8.9,1,1.8,poor
le5.2_ap_fs1_2016-03-01,o,spring,le5.2,2016-03-01,fs1,pheophytin,1.3,5,3,fair
ret3.1_ap_fs1_2016-03-17,o,spring,ret3.1,2016-03-17,fs1,pheophytin,39.4,1,1.4,poor
tf3.3_ap_fs1_2016-04-21,o,spring,tf3.3,2016-04-21,fs1,pheophytin,11,1,1.8,poor
ret4.3_ap_fs1_2016-05-25,o,spring,ret4.3,2016-05-25,fs1,pheophytin,5.03,1,1.8,poor
ret3.1_ap_fs1_2013-04-09,o,spring,ret3.1,2013-04-09,fs1,total_phyto_biomass,1888.13913649,1,1.8,poor
ret4.3_ap_fs1_2013-04-16,o,spring,ret4.3,2013-04-16,fs1,total_phyto_biomass,1260.62097971,1,1.8,poor
ret3.1_ap_fs1_2014-03-11,o,spring,ret3.1,2014-03-11,fs1,total_phyto_biomass,246.09641323,5,3,fair
ret3.1_ap_fs1_2014-04-08,o,spring,ret3.1,2014-04-08,fs1,total_phyto_biomass,166.69718411,5,3.8,fair_good
ret4.3_ap_fs1_2014-04-22,o,spring,ret4.3,2014-04-22,fs1,total_phyto_biomass,11193.70148538,1,1,poor
ret4.3_ap_fs1_2014-05-20,o,spring,ret4.3,2014-05-20,fs1,total_phyto_biomass,12.97154525,1,1,poor
ret5.2_ap_fs1_2015-03-03,o,spring,ret5.2,2015-03-03,fs1,total_phyto_biomass,295.73642326,5,2.2,fair_poor
ret4.3_ap_fs1_2015-03-24,o,spring,ret4.3,2015-03-24,fs1,total_phyto_biomass,553.0273684,3,1.5,poor
ret3.1_ap_fs1_2015-05-12,o,spring,ret3.1,2015-05-12,fs1,total_phyto_biomass,1028.3680735,1,1.8,poor
le5.2_ap_fs1_2016-03-01,o,spring,le5.2,2016-03-01,fs1,total_phyto_biomass,421.5002383,5,3,fair
ret3.1_ap_fs1_2016-03-17,o,spring,ret3.1,2016-03-17,fs1,total_phyto_biomass,446.64448906,3,1.4,poor
tf3.3_ap_fs1_2016-04-21,o,spring,tf3.3,2016-04-21,fs1,total_phyto_biomass,1672.74918266,1,1.8,poor
ret4.3_ap_fs1_2016-05-25,o,spring,ret4.3,2016-05-25,fs1,total_phyto_biomass,322.63022087,5,1.8,poor
sbe5_ap_fs1_2013-03-13,m,spring,sbe5,2013-03-13,fs1,total_phyto_biomass_chla_ratio,59.9968923202358,3,2.26,fair_poor
we4.2_ap_fs1_2013-03-20,m,spring,we4.2,2013-03-20,fs1,total_phyto_biomass_chla_ratio,126.033519722222,5,2.25,fair_poor
cb6.4_ap_fs1_2013-03-20,m,spring,cb6.4,2013-03-20,fs1,total_phyto_biomass_chla_ratio,44.6840120674157,1,1.42,poor
le5.5-w_ap_fs1_2013-03-20,m,spring,le5.5-w,2013-03-20,fs1,total_phyto_biomass_chla_ratio,40.5020145380774,1,1.41,poor
ret3.1_ap_fs1_2013-03-27,m,spring,ret3.1,2013-03-27,fs1,total_phyto_biomass_chla_ratio,134.227850786755,5,2.21,fair_poor
sbe5_ap_fs1_2013-04-10,m,spring,sbe5,2013-04-10,fs1,total_phyto_biomass_chla_ratio,46.1676523314841,3,1.83,poor
cb6.1_ap_fs1_2013-04-16,m,spring,cb6.1,2013-04-16,fs1,total_phyto_biomass_chla_ratio,84.7804817228464,5,2.26,fair_poor
le3.6_ap_fs1_2013-04-16,m,spring,le3.6,2013-04-16,fs1,total_phyto_biomass_chla_ratio,117.259706859283,5,2.69,fair
le5.5-w_ap_fs1_2013-04-17,m,spring,le5.5-w,2013-04-17,fs1,total_phyto_biomass_chla_ratio,831.356117296348,5,2.71,fair
cb6.4_ap_fs1_2013-05-14,m,spring,cb6.4,2013-05-14,fs1,total_phyto_biomass_chla_ratio,66.7740359085305,3,2.27,fair_poor
we4.2_ap_fs1_2013-05-14,m,spring,we4.2,2013-05-14,fs1,total_phyto_biomass_chla_ratio,42.1228686360799,1,1.83,poor
le5.5-w_ap_fs1_2013-05-14,m,spring,le5.5-w,2013-05-14,fs1,total_phyto_biomass_chla_ratio,57.8419682261756,3,2.24,fair_poor
sbe5_ap_fs1_2013-05-16,m,spring,sbe5,2013-05-16,fs1,total_phyto_biomass_chla_ratio,29.3849286393443,1,1,poor
cb6.1_ap_fs1_2013-05-16,m,spring,cb6.1,2013-05-16,fs1,total_phyto_biomass_chla_ratio,344.640541176384,5,2.73,fair
le3.6_ap_fs1_2013-05-17,m,spring,le3.6,2013-05-17,fs1,total_phyto_biomass_chla_ratio,277.931170186263,5,2.37,fair_poor
ret4.3_ap_fs1_2013-05-21,m,spring,ret4.3,2013-05-21,fs1,total_phyto_biomass_chla_ratio,12.2890338901961,1,1,poor
sbe5_ap_fs1_2014-03-12,m,spring,sbe5,2014-03-12,fs1,total_phyto_biomass_chla_ratio,125.707802434524,5,2.65,fair_poor
cb6.1_ap_fs1_2014-03-20,m,spring,cb6.1,2014-03-20,fs1,total_phyto_biomass_chla_ratio,58.6397927873053,3,3.04,fair
le3.6_ap_fs1_2014-03-20,m,spring,le3.6,2014-03-20,fs1,total_phyto_biomass_chla_ratio,222.632533930647,5,2.02,fair_poor
sbe5_ap_fs1_2014-04-09,m,spring,sbe5,2014-04-09,fs1,total_phyto_biomass_chla_ratio,100.98478770438,5,2.25,fair_poor
cb6.4_ap_fs1_2014-04-14,m,spring,cb6.4,2014-04-14,fs1,total_phyto_biomass_chla_ratio,71.585645553228,5,3.49,fair_good
we4.2_ap_fs1_2014-04-14,m,spring,we4.2,2014-04-14,fs1,total_phyto_biomass_chla_ratio,130.465588898642,5,3.5,fair_good
le5.5-w_ap_fs1_2014-04-14,m,spring,le5.5-w,2014-04-14,fs1,total_phyto_biomass_chla_ratio,62.264189178911,3,3.06,fair
cb6.1_ap_fs1_2014-04-22,m,spring,cb6.1,2014-04-22,fs1,total_phyto_biomass_chla_ratio,140.925300242118,5,2.38,fair_poor
le3.6_ap_fs1_2014-04-22,m,spring,le3.6,2014-04-22,fs1,total_phyto_biomass_chla_ratio,67.7647231292135,3,2.04,fair_poor
cb7.4_ap_fs1_2014-05-12,m,spring,cb7.4,2014-05-12,fs1,total_phyto_biomass_chla_ratio,46.4716406005651,3,2.65,fair_poor
cb7.3e_ap_fs1_2014-05-12,m,spring,cb7.3e,2014-05-12,fs1,total_phyto_biomass_chla_ratio,132.765985677278,5,2.36,fair_poor
cb6.1_ap_fs1_2014-05-12,m,spring,cb6.1,2014-05-12,fs1,total_phyto_biomass_chla_ratio,129.167478388836,5,2.36,fair_poor
le3.6_ap_fs1_2014-05-12,m,spring,le3.6,2014-05-12,fs1,total_phyto_biomass_chla_ratio,96.478519329926,5,2.39,fair_poor
cb6.4_ap_fs1_2014-05-13,m,spring,cb6.4,2014-05-13,fs1,total_phyto_biomass_chla_ratio,139.226721183018,5,2.36,fair_poor
we4.2_ap_fs1_2014-05-14,m,spring,we4.2,2014-05-14,fs1,total_phyto_biomass_chla_ratio,135.628766263638,5,2.36,fair_poor
sbe5_ap_fs1_2014-05-14,m,spring,sbe5,2014-05-14,fs1,total_phyto_biomass_chla_ratio,77.759724,5,3.48,fair_good
le5.5-w_ap_fs1_2014-05-14,m,spring,le5.5-w,2014-05-14,fs1,total_phyto_biomass_chla_ratio,90.0887717986238,5,2.66,fair_poor
le3.6_ap_fs1_2015-03-12,m,spring,le3.6,2015-03-12,fs1,total_phyto_biomass_chla_ratio,325.828852906523,5,3.44,fair_good
sbe5_ap_fs1_2015-03-19,m,spring,sbe5,2015-03-19,fs1,total_phyto_biomass_chla_ratio,73.5939861824786,5,1.69,poor
ret3.1_ap_fs1_2015-03-19,m,spring,ret3.1,2015-03-19,fs1,total_phyto_biomass_chla_ratio,54.2104144860656,3,2.28,fair_poor
cb6.1_ap_fs1_2015-04-07,m,spring,cb6.1,2015-04-07,fs1,total_phyto_biomass_chla_ratio,142.656026654182,5,4.27,good
le3.6_ap_fs1_2015-04-07,m,spring,le3.6,2015-04-07,fs1,total_phyto_biomass_chla_ratio,121.436148067148,5,4.27,good
ret4.3_ap_fs1_2015-04-29,m,spring,ret4.3,2015-04-29,fs1,total_phyto_biomass_chla_ratio,108.526312228211,5,1.84,poor
cb6.4_ap_fs1_2015-05-05,m,spring,cb6.4,2015-05-05,fs1,total_phyto_biomass_chla_ratio,110.734627934218,5,3.05,fair
cb6.1_ap_fs1_2015-05-06,m,spring,cb6.1,2015-05-06,fs1,total_phyto_biomass_chla_ratio,85.6823434084358,5,3.48,fair_good
le3.6_ap_fs1_2015-05-06,m,spring,le3.6,2015-05-06,fs1,total_phyto_biomass_chla_ratio,186.849407111016,5,3.06,fair
ret4.3_ap_fs1_2015-05-13,m,spring,ret4.3,2015-05-13,fs1,total_phyto_biomass_chla_ratio,8.39327245620438,1,1,poor
sbe5_ap_fs1_2015-05-20,m,spring,sbe5,2015-05-20,fs1,total_phyto_biomass_chla_ratio,43.7043063274854,1,1,poor
sbe5_ap_fs1_2016-03-09,m,spring,sbe5,2016-03-09,fs1,total_phyto_biomass_chla_ratio,200.788219729412,5,3.11,fair
cb6.1_ap_fs1_2016-03-16,m,spring,cb6.1,2016-03-16,fs1,total_phyto_biomass_chla_ratio,233.61888372369,5,2.35,fair_poor
le3.6_ap_fs1_2016-03-16,m,spring,le3.6,2016-03-16,fs1,total_phyto_biomass_chla_ratio,49.3492265938295,3,2.23,fair_poor
ret4.3_ap_fs1_2016-03-16,m,spring,ret4.3,2016-03-16,fs1,total_phyto_biomass_chla_ratio,53.9873081394177,3,1.34,poor
sbe5_ap_fs1_2016-04-14,m,spring,sbe5,2016-04-14,fs1,total_phyto_biomass_chla_ratio,114.604858846154,5,2.66,fair_poor
ret3.1_ap_fs1_2016-04-21,m,spring,ret3.1,2016-04-21,fs1,total_phyto_biomass_chla_ratio,15.7551787654206,1,1,poor
ret4.3_ap_fs1_2016-04-27,m,spring,ret4.3,2016-04-27,fs1,total_phyto_biomass_chla_ratio,32.7823589652893,1,1,poor
cb6.1_ap_fs1_2016-04-27,m,spring,cb6.1,2016-04-27,fs1,total_phyto_biomass_chla_ratio,118.954872923791,5,3.07,fair
